,County Code,District Code,School Code,School Name,Charter School,DASS,ChronicAbsenteeismRate
1907,37,68338.0,0118315,East Village Middle College High,No ,No ,12.8
1908,37,68338.0,0118851,King-Chavez Community High,Yes,No ,33.9
1910,37,68338.0,0122788,School for Entrepreneurship and Technology,Yes,No ,6.7
1913,37,68338.0,0127647,e3 Civic High,Yes,No ,20.4
1917,37,68338.0,3730173,Canyon Hills High,No ,No ,16.8
1918,37,68338.0,3730181,Mira Mesa High,No ,No ,11.4
1919,37,68338.0,3730314,University City High,No ,No ,16.8
1922,37,68338.0,3730884,Scripps Ranch High,No ,No ,10.0
1925,37,68338.0,3731213,Clairemont High,No ,No ,26.5
1926,37,68338.0,3731247,High Tech High,Yes,No ,18.6
1927,37,68338.0,3732781,Henry High,No ,No ,15.7
1928,37,68338.0,3732997,Hoover High,No ,No ,21.6
1929,37,68338.0,3733508,La Jolla High,No ,No ,16.1
1930,37,68338.0,3733698,Madison High,No ,No ,22.0
1931,37,68338.0,3734431,Mission Bay High,No ,No ,18.3
1932,37,68338.0,3734654,Morse High,No ,No ,19.8
1933,37,68338.0,3735750,Point Loma High,No ,No ,13.8
1936,37,68338.0,3730231,Twain High,No ,Yes,74.4
1941,37,68338.0,3737962,Garfield High,No ,Yes,58.4
1943,37,68346.0,0106328,Canyon Crest Academy,No ,No ,5.4
1944,37,68346.0,3730033,Torrey Pines High,No ,No ,12.0
1945,37,68346.0,3731007,La Costa Canyon High,No ,No ,13.6
1946,37,68346.0,3737418,San Dieguito HS Academy,No ,No ,12.3
1947,37,68346.0,3737384,Sunset High (Continuation),No ,Yes,81.3
1949,37,68403.0,0125401,Insight @ San Diego,Yes,Yes,29.7
1950,37,68411.0,0111831,Olympian High,No ,No ,18.1
1953,37,68411.0,3730124,Southwest Senior High,No ,No ,18.9
1954,37,68411.0,3730405,Bonita Vista Senior High,No ,No ,15.7
1955,37,68411.0,3730801,Castle Park Senior High,No ,No ,14.9
1956,37,68411.0,3730843,Eastlake High,No ,No ,8.5
1957,37,68411.0,3731064,Chula Vista Senior High,No ,No ,28.5
1959,37,68411.0,3731502,San Ysidro High,No ,No ,26.0
1960,37,68411.0,3731627,Otay Ranch Senior High,No ,No ,14.8
1961,37,68411.0,3732849,Hilltop Senior High,No ,No ,24.5
1962,37,68411.0,3733953,Mar Vista Senior High,No ,No ,20.1
1963,37,68411.0,3738226,Sweetwater High,No ,No ,19.5
1964,37,68411.0,3738234,Montgomery Senior High,No ,No ,16.7
1966,37,68411.0,3731304,MAAC Community Charter,Yes,Yes,38.8
1969,37,68452.0,0118430,Mission Vista High,No ,No ,10.0
1973,37,68452.0,3730728,Rancho Buena Vista High,No ,No ,18.2
1975,37,68452.0,3738705,Vista High,No ,No ,23.2
1977,37,68452.0,0114264,North County Trade Tech High,Yes,Yes,28.7
