,SchoolCode,TOTAL_EL
807,2430049,7
808,2430098,252
809,2430114,137
810,2430163,59
811,2430205,178
812,2430601,237
813,2431203,110
814,2431807,112
815,2432409,124
816,2433001,114
817,2433605,200
818,2434207,174
819,2435204,170
820,2530020,2
821,2535409,2
822,2630010,61
823,2630028,2
824,2635001,2
825,2730034,369
826,2730109,500
827,2730117,19
828,2730166,276
829,2730174,235
830,2730190,238
831,2730265,14
832,2730414,10
833,2730885,232
834,2732170,167
835,2732808,102
836,2733178,299
837,2733657,12
838,2734556,208
839,2735348,250
840,2830016,206
841,2830073,6
842,2830115,42
843,2835601,434
844,2837102,30
845,2930030,2
846,2930048,6
847,2935500,18
848,3030038,110
849,3030046,43
850,3030053,78
851,3030061,259
852,3030079,81
853,3030129,11
854,3030145,258
855,3030152,140
856,3030210,134
857,3030228,874
858,3030244,204
859,3030285,169
860,3030335,29
861,3030368,17
862,3030392,140
863,3030434,379
864,3030491,576
865,3030608,2
866,3030640,91
867,3030657,147
868,3030855,361
869,3031895,76
870,3031929,93
871,3031952,156
872,3032109,133
873,3032158,186
874,3032505,181
875,3032752,388
876,3032943,69
877,3033057,640
878,3033115,149
879,3033206,14
880,3033362,92
881,3033578,295
882,3033784,498
883,3033917,30
884,3033933,472
885,3034204,430
886,3034410,110
887,3034907,43
888,3034956,109
889,3035045,160
890,3035102,164
891,3035409,355
892,3035581,85
893,3035706,360
894,3036357,885
895,3036456,762
896,3036555,518
897,3036712,294
898,3037090,117
899,3037348,130
900,3037496,94
901,3037553,375
902,3038023,296
903,3038098,168
904,3038239,323
905,3038445,593
906,3130010,37
907,3130101,1
908,3130119,4
909,3130150,49
910,3130176,92
911,3130184,67
912,3131851,7
913,3132453,17
914,3134657,108
915,3135308,90
916,3135704,98
917,3136504,119
918,3138500,53
919,3330008,339
920,3330024,302
921,3330370,112
922,3330388,110
923,3330396,245
924,3330412,375
925,3330438,260
926,3330446,283
927,3330479,225
928,3330487,125
929,3330529,68
930,3330537,238
931,3330552,139
932,3330578,337
933,3330636,4
934,3330669,181
935,3330701,171
936,3330727,129
937,3330743,90
938,3330818,414
939,3330859,114
940,3330990,495
941,3331006,11
942,3331014,46
943,3331071,306
944,3331600,294
945,3332350,132
946,3332673,240
947,3333192,474
948,3333770,448
949,3334232,135
950,3334299,465
951,3334406,337
952,3335130,233
953,3335759,44
954,3335973,565
955,3336237,240
956,3336492,342
957,3337136,316
958,3337656,301
959,3430048,129
960,3430170,424
961,3430378,174
962,3430386,4
963,3430477,422
964,3430493,134
965,3430584,192
966,3430592,167
967,3430618,263
968,3430865,13
969,3430873,134
970,3431012,436
971,3431111,27
972,3431533,437
973,3432051,197
974,3432317,120
975,3432572,84
976,3432838,431
977,3433216,145
978,3433265,465
979,3433471,72
980,3433794,578
981,3434370,241
982,3434636,596
983,3434768,213
984,3434792,29
985,3435419,401
986,3435930,455
987,3436714,255
988,3436979,313
989,3438504,134
990,3530045,2
991,3530060,49
992,3630035,98
993,3630076,19
994,3630225,103
995,3630233,205
996,3630274,12
997,3630290,4
998,3630373,104
999,3630407,474
1000,3630423,216
1001,3630522,75
1002,3630530,16
1003,3630555,430
1004,3630563,59
1005,3630571,158
1006,3630597,459
1007,3630746,336
1008,3630779,81
1009,3630787,319
1010,3630803,136
1011,3630845,2
1012,3630894,193
1013,3630902,256
1014,3631017,113
1015,3631058,84
1016,3631082,448
1017,3631157,191
1018,3631322,278
1019,3631587,9
1020,3632205,536
1021,3632221,155
1022,3632502,145
1023,3632742,241
1024,3633005,404
1025,3633302,651
1026,3633351,6
1027,3633906,311
1028,3634482,218
1029,3634680,174
1030,3635042,136
1031,3635265,61
1032,3635844,224
1033,3636081,125
1034,3637584,142
1035,3637659,52
1036,3638012,382
1037,3638509,156
1038,3638616,42
1039,3730033,151
1040,3730058,341
1041,3730066,260
1042,3730074,50
1043,3730124,534
1044,3730173,32
1045,3730181,155
1046,3730231,74
1047,3730314,64
1048,3730405,170
1049,3730447,23
1050,3730694,95
1051,3730702,60
1052,3730728,162
1053,3730801,493
1054,3730819,51
1055,3730843,144
1056,3730884,27
1057,3730967,9
1058,3731007,47
1059,3731023,23
1060,3731064,585
1061,3731114,144
1062,3731213,46
1063,3731247,17
1064,3731262,192
1065,3731304,112
1066,3731478,11
1067,3731486,4
1068,3731502,692
1069,3731528,38
1070,3731627,186
1071,3731692,702
1072,3731809,147
1073,3732062,412
1074,3732179,386
1075,3732336,265
1076,3732625,280
1077,3732732,89
1078,3732781,68
1079,3732849,301
1080,3732997,415
1081,3733219,11
1082,3733508,30
1083,3733698,56
1084,3733953,304
1085,3734431,38
1086,3734548,259
1087,3734654,153
1088,3734761,278
1089,3734878,80
1090,3735206,170
1091,3735313,512
1092,3735750,46
1093,3735867,77
1094,3735974,129
1095,3737384,4
1096,3737418,81
1097,3737632,217
1098,3737962,51
1099,3738226,638
1100,3738234,407
1101,3738705,268
1102,3739018,179
1103,3830031,39
1104,3830064,46
1105,3830197,5
1106,3830205,81
1107,3830254,211
1108,3830288,167
1109,3830361,2
1110,3830387,10
1111,3830395,50
1112,3830403,299
1113,3830429,7
1114,3830437,44
1115,3831765,493
1116,3833241,302
1117,3833407,67
1118,3834082,403
1119,3834769,155
1120,3839081,211
1121,3930237,134
1122,3930302,222
1123,3930310,180
1124,3930427,29
1125,3932001,200
1126,3932100,507
1127,3932308,48
1128,3933801,214
1129,3933959,67
1130,3934759,281
1131,3934783,217
1132,3935103,296
1133,3935756,46
1134,3937406,274
1135,3938008,260
1136,4030102,6
1137,4030185,5
1138,4030268,66
1139,4030755,76
1140,4032009,32
1141,4034807,21
1142,4035754,210
1143,4036703,85
1144,4037008,29
1145,4037701,5
1146,4130217,64
1147,4130472,43
1148,4130738,186
1149,4130993,101
1150,4132551,60
1151,4132817,78
1152,4133070,208
1153,4133393,244
1154,4133716,360
