,School Code,STU_TCH_RATIO
592,1936228,19.7
593,1937564,24.6
594,1932862,26
595,1939149,23.2
596,1995810,22
597,0127100,25.8
598,0134619,25.3
599,1995786,18.1
600,1935808,24.8
601,1937143,25.3
602,1930163,21.4
603,1934553,25.8
604,1937697,24.3
605,0119016,19.5
606,0119636,19.5
607,0131128,18
608,2032357,21
609,0110965,20.1
610,0118950,14.2
611,0139691,20.4
612,2035707,20.7
613,0110395,*
614,0111443,12.5
615,2030203,20.6
616,0100180,4.3
617,0117010,16.4
618,0125021,23.4
619,2030013,20.1
620,2030070,4
621,2030104,23
622,2030237,13.3
623,2132272,19.1
624,2133056,22
625,2133262,19.8
626,2134005,20.7
627,2130078,11.3
628,2131340,18.1
629,2132587,19.3
630,2133692,19.2
631,2134310,8
632,2230100,5
633,2230076,4.7
634,2235356,16.4
635,2331361,16.8
636,2333185,11.9
637,2333649,10.5
638,2330033,*
639,2334563,10
640,2335024,18.9
641,0136887,16.8
642,2335487,13.3
643,2330041,14.2
644,2332260,10.3
645,2330207,3.4
646,2332724,5.9
647,2430163,14.5
648,2432409,19.5
649,2433001,18.7
650,0120923,20.4
651,2434207,21.3
652,0127373,21.3
653,2430049,8.2
654,2430098,21.3
655,2430205,22.5
656,2430601,20.7
657,2433605,21
658,2435204,22.6
659,2431807,19
660,2430015,14.2
661,2431203,19.6
662,2430114,18.3
663,2530020,*
664,2535409,16.3
665,0124990,19.2
666,2630028,11
667,2633006,7
668,2635001,7.4
669,2630010,15.5
670,2730117,12.5
671,2730265,20.2
672,2730414,14
673,0141010,20.5
674,2730174,25.1
675,2732170,22.4
676,0111435,21.2
677,2732808,23.1
678,2735348,20.6
679,2733657,16.2
680,0136697,20.7
681,2730109,23
682,2730166,21.9
683,2733178,20.2
684,2734556,21.8
685,2730034,20.6
686,2730190,22.2
687,2730885,19.7
688,2830073,6.8
689,0121087,23.5
690,2830016,23.3
691,2830115,23
692,2835601,23
693,2837102,13.2
694,0114314,13.2
695,0112367,31.3
696,0124834,13.4
697,2930030,19.4
698,2930048,23.4
699,2935500,20.1
700,0133983,20
701,0134841,26.6
702,0141978,25
703,3030038,27
704,3030228,23.5
705,3033057,24.2
706,3033115,23.8
707,3033784,21.8
708,3034204,21.7
709,3036712,22.7
710,3038239,21.9
711,3030640,21.4
712,0124131,23
713,3030210,21.8
714,3030335,10.9
715,3030855,23.1
716,3032505,26.1
717,3033362,23.6
718,3037090,23.9
719,3037348,25.3
720,3037496,23.2
721,3030434,20.8
722,3032752,22.7
723,3033578,23.7
724,3033933,20.2
725,3035581,22.2
726,3035706,19.7
727,3036555,20
728,3030145,19
729,3030368,17.7
730,3031895,21.7
731,3032158,27.4
732,3032943,23.4
733,3034410,22.5
734,3038445,23.3
735,3033206,17.5
736,0111666,15.1
737,3034907,8.2
738,3035045,22.4
739,3030046,26
740,3031952,21.5
741,3035409,20.9
742,3038098,24.8
743,0119404,25.6
744,3030053,21.5
745,3031929,25
746,3038023,22
747,0106567,19.2
748,0108365,24
749,0114736,19.2
750,3030491,16.4
751,3030608,19.9
752,3036357,19.7
753,3036456,18
754,3030061,21.4
755,3030079,9.2
756,3030244,21.2
757,3030392,23.1
758,3034956,22.1
759,0102871,26.4
760,3032109,25.1
761,3037553,24
762,0133405,26.6
763,3030129,8.3
764,3030152,24.4
765,3030285,24.1
766,3030657,26.3
767,3035102,26.3
768,3033917,25.2
769,3130101,6.1
770,0102293,17.2
771,0138081,15
772,3131851,22
773,3132453,24.4
774,3135704,22.3
775,0116459,23.9
776,0139840,23.8
777,3130119,18.9
778,3130176,22.4
779,3130184,23.1
780,3135308,20.1
781,3136504,21.9
782,3130010,17.1
783,3138500,20.1
784,0140541,22.5
785,3134657,20.9
786,0108084,22.5
787,3130150,22
788,0100057,8
789,0125237,13.4
790,0128397,26.4
791,0128777,39.4
792,0125732,24
793,3330008,21.2
794,3334299,20.8
795,3330479,24.6
796,0110627,25.7
797,0110759,28.1
798,3330446,24.4
799,3330701,25.3
800,3331600,23.7
801,3334232,23.7
802,0118885,23.6
803,3330388,26
804,3330669,24.8
805,3333192,23.9
806,0113159,21.1
807,3330537,20.8
808,3332673,22.5
809,0114157,24.1
810,3330412,23.6
811,3337136,20.8
812,3330396,21.9
813,3330438,21.8
814,3331071,20.3
815,3333770,20
816,3331014,25.1
817,0127316,20.5
818,3330578,20
819,3330818,20.6
820,3335130,21
821,3335759,21.2
822,0113191,23.9
823,0140491,25
824,3330727,23
825,3335973,23.7
826,3330024,22.6
827,3330859,23.7
828,3334406,22.9
829,3336237,23.8
830,3336492,23
831,3331006,28.4
832,3337656,19.3
833,0100255,22
834,0121673,22.4
835,3330990,20.3
836,0107920,22.4
837,3330487,25.5
838,3332350,21.8
839,0105734,25
840,3330370,23.5
841,3330636,21.9
842,3330743,26.3
843,0100420,23
844,0118794,22.1
845,3330529,22.7
846,0109108,19.7
847,0133306,22.3
848,3330552,22.1
849,0105916,21.5
850,0108753,22.3
851,0116897,21.2
852,3430170,19.8
853,3430477,18.3
854,3430592,21.2
855,3430618,21.7
856,3430873,23.3
857,3432572,20.2
858,0113571,24.3
859,3431533,18.5
860,3433216,24.9
861,3434792,11.9
862,0119131,22.8
863,3433471,22.3
864,4835302,16.7
865,0137950,25.5
866,0101881,17.6
867,0101899,14.2
868,0101907,15.4
869,0101972,19.6
870,0102038,23.3
871,0108951,13.2
872,3430865,27.7
873,3431012,18.7
874,3434636,21.8
875,3434768,20.5
876,3435419,24.1
877,0135772,21.9
878,3430048,19.7
879,3430386,15.7
880,3430493,23.6
881,3431111,21
882,3432051,21.7
883,3432317,22
884,3432838,17.3
885,3435930,22.3
886,3436714,23.7
887,3438504,11.9
888,3430378,20.5
889,0102236,24.4
890,0112425,17.7
891,3430584,22
892,0101832,21.3
893,0130757,92.1
894,0139584,14.3
895,3433265,21.6
896,3433794,20
897,3434370,18.6
898,3436979,20.2
899,0132308,12.5
900,3530045,*
901,3530060,16.4
902,0140012,20.6
903,3630803,24.2
904,3630290,*
905,0126243,18.7
906,3630225,24.9
907,3630373,25.4
908,3630571,25.1
909,3630845,9
910,3631058,25.8
911,3631157,26
912,3632205,23.4
913,3633906,23.6
914,3634482,21.9
915,3637659,14.9
916,3630035,18.8
917,3630522,25.7
918,3631017,25.9
919,3631587,5.9
920,3632502,21.5
921,0125500,19.9
922,3631322,18.7
923,3632742,19.3
924,0108191,23.5
925,0120758,19.2
926,3630555,18.8
927,3630902,17.7
928,3633302,21
929,3638616,19.6
930,3630266,*
931,3634169,18.7
932,0118802,23
933,3630779,21.3
934,3635042,22.3
935,0102830,21.4
936,3630530,17.4
937,3630597,21.9
938,3633005,20
939,3635265,19.7
940,0125450,21.7
941,0136952,17.6
942,3631082,24.2
943,3631090,18.9
944,3632221,24.7
945,3634680,19.8
946,3635844,20.9
947,3636081,20.9
948,0125419,23.4
949,3630787,21.8
950,3638012,23.8
951,3633351,13.7
952,3638509,24.4
953,3630076,7.1
954,3630274,17.2
955,3630233,21.8
956,0119115,21.5
957,3630407,22.7
958,3630746,21.9
959,0136432,32.2
960,3630563,15.1
961,3637584,22.5
962,3630423,23.5
963,3630894,22.1
964,0115998,4.7
965,0134890,24.8
966,3730447,12.4
967,3731478,18
968,0111195,22.6
969,0127241,26.8
970,3730058,20.4
971,3731023,17.3
972,3732062,18.4
973,3735313,19.1
974,3730967,18.5
975,3732179,20.6
976,0128793,9.7
977,0132548,7.8
978,3730066,23.5
979,3730702,23.4
980,3731262,24
981,3731486,11
982,3731692,20.7
983,3731809,21.9
984,3732336,24
985,3732625,24.4
986,3732732,23.2
987,3734548,20
988,3734761,21.7
989,3733219,16
990,0123224,16.2
991,3734878,18.8
992,0118935,23.9
993,3730074,23.1
994,3730819,24.1
995,3731528,24
996,3735867,21.5
997,3735974,21.1
998,0106732,15
999,0107078,22.1
1000,0107086,20.1
1001,0107094,21.1
1002,0107102,20.9
1003,0107177,22.1
1004,0107219,21
1005,0107482,8.4
1006,0108787,14.2
1007,0114025,20
1008,0114462,20.6
1009,0118315,16
1010,0118851,12.3
1011,0122788,19.4
1012,0127647,17.7
1013,3730173,19.7
1014,3730181,22.8
1015,3730231,9.7
1016,3730314,22.4
1017,3730884,24.3
1018,3731213,19.5
1019,3731247,17.9
1020,3732781,24.1
1021,3732997,19.4
1022,3733508,21.9
1023,3733698,17
1024,3734431,19.3
1025,3734654,21.3
1026,3735750,21.9
1027,3737962,9.8
1028,0106328,25.4
1029,3730033,23.5
1030,3731007,20.8
1031,3737384,12.4
1032,3737418,23.1
1033,0125401,23.7
1034,0111831,24.1
1035,3730124,22.1
1036,3730405,21.7
1037,3730801,22.1
1038,3730843,24
1039,3731064,20.8
1040,3731304,14.3
1041,3731502,23.2
1042,3731627,23.5
1043,3732849,21.9
1044,3733953,22.2
1045,3738226,25.1
1046,3738234,21.8
1047,0114264,11.5
1048,0118430,21.8
1049,3730728,19
1050,3738705,16.7
1051,0127423,24.1
1052,3730694,23.8
1053,3731163,17.3
1054,3735206,21.8
1055,3739018,23.1
1056,0105726,24.8
1057,3737632,25.3
1058,0139451,32.1
1059,3731114,22
1060,0114678,16.5
1061,0114694,16.4
1062,0137067,17.4
1063,0129320,16.2
1064,3830361,8.5
1065,3830395,8.1
1066,0102103,13
1067,0107300,15.9
1068,0119875,14.3
1069,0119958,10
1070,0127530,9.3
1071,3830031,16.4
1072,3830064,40.9
1073,3830197,15.6
1074,3830205,19.5
1075,3830254,19.3
1076,3830288,20.3
1077,3830387,20.3
1078,3830403,14.5
1079,3830429,7.8
1080,3830437,17.1
1081,3831765,19.8
1082,3833241,22.6
1083,3833407,20.9
1084,3834082,16.8
1085,3834769,15.7
1086,3839081,22.3
1087,3932308,21.7
1088,3933801,21
1089,3933959,19.5
1090,0101956,25.7
1091,0108225,17.3
1092,3930237,18.9
1093,3930443,32.3
1094,3934759,20
1095,3934783,18
1096,0101576,18.9
1097,0116376,21
1098,3930310,22.4
1099,3932001,19.2
1100,3935103,20.7
1101,0133116,28.7
1102,0136135,21
1103,3935756,20.3
1104,0108159,20.9
1105,0115402,14.3
1106,0119743,30.6
1107,0119784,23.9
1108,0123802,17.8
1109,0124248,20.2
1110,3930427,15.6
1111,3932100,22.9
1112,3937406,20.3
1113,0102392,16
1114,0119040,23.6
1115,3930302,21.4
1116,3938008,22.3
1117,0128967,23.7
1118,4030102,26.1
1119,4030755,19.7
1120,0125328,19
1121,4030268,18.4
1122,4034807,17.8
1123,4036703,21
1124,4037008,12.4
1125,4030185,24
1126,4037701,19.3
1127,0119354,21.1
1128,4035754,21.7
1129,4032009,9.8
1130,0135269,43.2
1131,4132817,18.2
1132,0127548,26.9
1133,4133393,19.4
1134,4135075,17.1
1135,4137535,20
1136,4137592,9.9
1137,4137790,19.9
1138,4135331,12.9
1139,0129759,22.3
1140,4130217,22.4
1141,4130472,19.6
1142,4130738,18.6
1143,4133070,19.4
1144,4134557,20.4
1145,4136370,19.7
1146,0112722,19.5
1147,0126722,12.8
1148,0138420,9.4
1149,0139915,10.2
1150,4130993,19.6
1151,4133716,17.6
1152,4136693,17.3
1153,4138053,16.3
1154,4132551,17.6
1155,4137279,18.3
1156,4230587,18.3
1157,4230454,19.2
1158,4233060,19.6
1159,0102285,21.4
1160,4234613,20
1161,4236030,21.3
1162,4236345,18.5
1163,4231205,12.2
1164,0120402,12.3
1165,4231726,22.6
1166,4235230,21.2
1167,4235727,19.5
1168,0123794,20.2
1169,0135087,33.9
1170,4330254,4.3
1171,4330239,24.5
1172,4330866,21.7
1173,4331955,20.7
1174,4336137,21.5
1175,4338505,22.1
1176,0107151,27.8
1177,0116889,16
1178,0125617,17.9
1179,0130856,16.1
1180,0131995,17.2
1181,0132274,13.5
1182,4330015,23.9
1183,4330023,22.5
1184,4330031,22
1185,4330668,21.8
1186,4330692,25.1
1187,4332995,21.3
1188,4333639,19.7
1189,4334900,20.8
1190,4335204,22.2
1191,4335428,20.1
1192,4335907,23
1193,4337903,23.7
1194,4330569,2.2
1195,4331799,22.5
1196,4332474,21.1
1197,4333316,22.6
1198,4334421,23
1199,4334462,23.8
1200,0114496,27.4
1201,0118380,23.3
1202,4332839,20.8
1203,4334371,20.8
1204,4337762,19.2
1205,0102368,22.7
1206,4333951,20.5
1207,4334116,18.1
1208,4334728,18.5
1209,4332904,16.1
1210,4335782,16.3
1211,4330080,16.5
1212,4333522,25.6
1213,4333795,19.8
1214,4335949,21.5
1215,4337200,18.7
1216,4338950,20.3
1217,0135970,22.9
1218,0141283,18.8
1219,4330122,19
1220,4330247,9.5
1221,4338802,18.6
1222,4331039,11.5
1223,4334470,21.5
1224,0137315,11.9
1225,4430146,10
1226,0105858,21.6
1227,4430245,17.4
1228,4430518,22
1229,4437901,23.6
1230,4436754,20.9
1231,4430096,19.3
1232,4430187,13.3
1233,4432340,18.5
1234,4437109,22.8
1235,4437406,20
1236,4430211,19.4
1237,4530150,8.3
1238,4530028,22.1
1239,4530051,24.9
1240,4530192,6.7
1241,4530804,22.6
1242,4530010,*
1243,4530044,23.5
1244,4530200,14.3
1245,4530267,20.1
1246,4530309,10.5
1247,4532750,21.3
1248,4537304,20.5
1249,4531901,21.3
1250,4732707,6.7
1251,4734356,13.7
1252,4734901,3.6
1253,4735403,14.6
1254,4738753,14.5
1255,4739207,17.3
1256,4731253,13.5
1257,4733309,13.3
1258,4830071,3.3
1259,4831004,22.4
1260,4832259,23.9
1261,4830170,25.2
1262,4830451,21
1263,4833000,23.8
1264,4838801,23.6
1265,0141150,5
1266,4830089,20.5
1267,4830113,19.4
1268,4837803,21.3
1269,0139816,16.9
1270,4830147,21.1
1271,4830196,24.9
1272,4930400,19.2
1273,4930855,17.2
1274,4930012,21.6
1275,4930111,10.5
1276,4935151,21
1277,4930160,17
1278,4930244,21.6
1279,4934154,18.1
1280,4935292,20.9
1281,4936803,21
1282,4937256,19
1283,0123786,13.7
1284,4930384,22.1
1285,4935482,22.6
