,SchoolCode,Met UC/CSU Grad Req's (Rate),Dropout (Rate)
84528,1931963,64.9,3.2
84545,1932326,96.1,1.9
84563,1995695,30.9,20.8
84589,1996057,42.9,21.7
84637,1934801,45.4,0.5
84656,1935246,50.3,2.9
84691,1939834,68.2,0.6
84708,1939925,39.0,0.6
84723,1996560,*,*
84789,1936228,39.7,5.3
84807,1937564,51.9,4.5
84840,1932862,68.4,0.9
84875,1939149,71.7,0.9
84908,1995810,59.5,3.5
84974,0127100,17.1,23.9
85041,0134619,8.3,42.9
85162,1995786,65.5,3.3
85202,1935808,84.3,1.3
85255,1937143,79.7,0.8
85320,1930163,66.3,1.9
85338,1934553,65.4,1.5
85355,1937697,64.7,0.9
85372,0119016,99.2,0.0
85389,0119636,93.8,0.0
85421,0131128,96.9,0.0
85524,2032357,35.9,2.1
85556,0110965,45.3,2.9
85571,0118950,38.5,0.0
85624,0139691,61.2,2.2
85662,2035707,46.7,5.2
85678,0111443,0.0,18.2
85736,2030203,58.3,1.8
85750,0100180,*,*
85779,0117010,47.1,0.0
85796,0125021,57.8,0.0
85843,2030013,48.8,1.6
85873,2030070,*,*
85890,2030104,7.1,16.7
85904,2030237,58.8,5.6
86019,2132272,55.5,4.3
86036,2133056,67.5,1.3
86085,2133262,54.7,16.3
86103,2134005,68.9,6.1
86146,2130078,70.3,2.9
86162,2131340,78.4,2.4
86178,2132587,88.8,1.2
86195,2133692,87.0,1.0
86229,2134310,40.7,3.6
86245,2230100,*,*
86306,2230076,*,*
86333,2235356,41.6,2.5
86447,2331361,39.8,4.7
86463,2333185,63.0,2.1
86494,2333649,18.8,0.0
86510,2330033,0.0,73.3
86528,2334563,6.1,0.0
86614,2335024,42.3,2.6
86647,0136887,23.1,20.4
86682,2335487,45.1,11.3
86697,2330041,61.1,5.3
86729,2332260,15.8,0.0
86743,2330207,*,*
86759,2332724,*,*
86846,2430163,0.0,15.7
86930,2432409,45.0,0.6
86963,2433001,42.7,1.7
87011,0120923,47.8,0.9
87047,2434207,39.5,0.8
87074,0127373,43.6,1.8
87092,2430049,3.5,10.9
87111,2430098,35.8,4.5
87130,2430205,38.0,3.1
87148,2430601,31.8,3.3
87166,2433605,36.1,2.0
87185,2435204,24.1,6.0
87237,2431807,60.2,0.8
87255,2430015,0.0,14.3
87273,2431203,34.6,0.6
87291,2430114,47.1,0.0
87322,2530020,*,*
87347,2535409,24.4,0.0
87381,0124990,*,*
87397,2633006,72.7,8.3
87413,2635001,50.0,9.1
87430,2630010,52.3,2.2
87478,2730117,0.0,4.8
87513,2730265,0.0,21.2
87571,2730414,72.9,1.5
87611,0141010,0.0,20.0
87646,2730174,35.7,3.6
87663,2732170,31.4,4.3
87695,0111435,77.2,1.3
87757,2732808,88.1,1.5
87774,2735348,62.6,1.0
87806,2733657,41.2,3.8
87855,0136697,63.8,4.6
87873,2730109,50.1,5.5
87891,2730166,56.6,4.9
87924,2733178,46.6,2.6
87959,2734556,56.7,3.0
87978,2730034,45.3,3.2
88077,2730190,37.5,2.0
88095,2730885,43.9,2.4
88111,2830073,*,*
88205,0121087,54.5,1.6
88224,2830016,49.2,0.5
88242,2830115,41.3,1.3
88279,2835601,34.2,4.4
88296,2837102,60.2,4.0
88312,0114314,5.6,20.8
88407,0112367,97.2,2.7
88422,0124834,87.2,0.0
88439,2930030,13.6,0.0
88456,2930048,10.6,5.3
88489,2935500,27.1,5.8
88580,0133983,99.1,0.0
88615,0134841,11.1,21.4
88665,0141978,53.4,7.9
88801,3030038,75.6,1.8
88818,3030228,75.1,3.0
88890,3033057,59.7,2.7
88907,3033115,63.3,0.0
88924,3033784,45.5,0.3
88941,3034204,60.0,4.1
88958,3036712,40.6,2.4
88975,3038239,55.6,1.2
89024,3030640,61.3,4.2
89091,0124131,55.9,4.2
89123,3030210,62.0,2.5
89276,3030335,42.9,6.3
89295,3030855,42.1,1.9
89314,3032505,44.1,4.5
89332,3033362,58.7,1.7
89367,3037090,60.1,1.5
89384,3037348,74.7,0.8
89402,3037496,78.6,1.1
89451,3030434,66.9,7.2
89468,3032752,68.2,5.7
89485,3033578,77.6,3.7
89501,3033933,60.6,7.1
89519,3035581,69.8,3.2
89537,3035706,58.9,5.1
89555,3036555,56.3,7.8
89617,3030145,46.4,2.7
89634,3030368,21.3,1.2
89651,3031895,65.9,0.2
89669,3032158,68.9,0.6
89687,3032943,69.5,1.4
89705,3034410,54.8,2.4
89722,3038445,51.6,1.9
89770,3033206,86.6,0.5
89799,0111666,82.4,0.0
89885,3034907,0.0,5.2
89902,3035045,60.5,1.9
89986,3030046,74.1,0.8
90003,3031952,51.2,0.9
90020,3035409,43.0,0.7
90055,3038098,54.5,0.4
90098,0119404,72.2,1.5
90115,3030053,55.5,1.1
90149,3031929,62.8,1.4
90183,3038023,58.1,2.0
90247,0106567,86.8,2.9
90266,0108365,64.2,0.7
90284,0114736,68.1,0.7
90338,3030491,39.6,8.5
90353,3030608,97.9,0.0
90407,3036357,43.1,4.2
90424,3036456,36.1,5.0
90473,3030061,52.4,2.5
90490,3030079,1.0,15.7
90508,3030244,58.3,1.2
90526,3030392,57.8,0.8
90559,3034956,60.5,0.5
90617,0102871,73.7,0.6
90668,3032109,78.1,0.4
90702,3037553,52.9,1.8
90760,0133405,77.3,2.2
90776,3030129,0.0,5.7
90794,3030152,72.5,3.1
90812,3030285,71.9,3.1
90846,3030657,65.4,1.1
90864,3035102,69.2,1.4
90894,3033917,82.0,2.4
90941,3130101,*,*
90986,0102293,85.4,2.4
91003,0138081,8.6,10.1
91039,3131851,79.6,0.0
91057,3132453,76.7,0.5
91075,3135704,66.9,3.2
91105,0116459,68.9,2.1
91138,0139840,69.0,3.9
91155,3130119,22.2,8.2
91172,3130176,65.8,2.8
91189,3130184,66.0,2.3
91224,3135308,70.5,7.5
91243,3136504,67.3,7.6
91260,3130010,66.1,0.0
91308,3138500,62.0,1.5
91366,0140541,66.4,2.8
91417,3134657,58.1,3.6
91434,0108084,73.3,0.9
91467,3130150,76.7,0.4
91517,0100057,*,*
91630,0125237,9.1,26.7
91649,0128397,0.0,49.6
91667,0128777,0.0,62.3
91841,0125732,63.9,1.0
91875,3330008,53.5,3.4
91893,3334299,39.4,2.6
92053,3330479,47.2,1.3
92138,0110627,71.7,0.3
92155,0110759,90.5,0.0
92190,3330446,56.5,1.2
92224,3330701,70.4,1.4
92241,3331600,43.5,2.0
92258,3334232,48.9,2.3
92293,0118885,72.3,1.5
92310,3330388,80.2,0.2
92328,3330669,73.6,0.7
92382,3333192,54.2,5.6
92446,0113159,71.8,1.7
92516,3330537,64.8,2.5
92534,3332673,55.5,1.5
92565,0114157,61.4,2.9
92582,3330412,57.3,3.3
92616,3337136,42.6,4.3
92701,3330396,54.7,2.3
92718,3330438,55.2,1.2
92752,3331071,42.8,3.1
92786,3333770,49.5,4.9
92802,3331014,59.4,0.0
92828,0127316,64.7,1.0
92863,3330578,65.5,1.5
92881,3330818,53.4,6.3
92917,3335130,59.3,2.8
92970,3335759,28.9,4.9
93020,0113191,52.4,6.1
93055,0140491,63.1,1.8
93089,3330727,66.7,1.5
93106,3335973,46.4,6.9
93170,3330024,54.1,2.5
93235,3330859,69.6,1.4
93253,3334406,50.5,3.0
93271,3336237,61.7,2.0
93289,3336492,60.4,1.7
93368,3331006,30.0,9.1
93404,3337656,61.3,3.1
93437,0100255,45.5,3.4
93455,0121673,88.5,10.3
93509,3330990,52.6,2.9
93542,0107920,37.4,3.4
93593,3330487,53.7,1.9
93611,3332350,33.8,0.5
