,SchoolCode,School Name,Charter School,DASS,ChronicAbsenteeismRate,College Going Rate - Total (12 Months),TOTAL_EL,Percent Eligible FRPM,School Type,Educational Option Type,Met UC/CSU Grad Req's (Rate),Dropout (Rate),Homeless Student Enrollment (Rate),SPED_ENR_N,Stability Rate (percent),CumulativeEnrollment,Total Expulsions,Total Suspensions,STU_TCH_RATIO,Percentage Standard Met and Above,Students Tested with Scores (Rate)
167,1532290,East Bakersfield High,No ,No ,26.3,50.5,336,0.9021879021879022,High Schools (Public),Traditional,39.5,11.2,0.0458574181117533,331,80.7,2595,0,543,24.2,22.15,0.8233082706766918
168,1532605,Foothill High,No ,No ,20.8,51.5,320,0.8781204111600588,High Schools (Public),Traditional,34.3,9.5,0.01875,252,83.1,2240,2,378,24.2,18.6,0.9513274336283186
169,1533330,Highland High,No ,No ,16.1,54.5,118,0.8735177865612648,High Schools (Public),Traditional,49.2,7.7,0.0118606375092661,287,87.7,2698,0,253,24,29.02,0.9879101899827288
170,1533538,Kern Valley High,No ,No ,32.6,23.9,5,0.7693798449612403,High Schools (Public),Traditional,15.3,11.8,0.073394495412844,76,87.9,545,0,65,17.4,23.85,0.9083333333333332
171,1534775,North High,No ,No ,26.9,42.2,161,0.8735362997658079,High Schools (Public),Traditional,32.4,13.3,0.054985638079606,327,78.1,2437,1,571,25.3,22.43,0.8773148148148148
172,1535087,Shafter High,No ,No ,20.2,46.6,253,0.8749218261413383,High Schools (Public),Traditional,39.3,2.8,0.0182998819362455,174,86.7,1694,0,102,21.7,13.19,0.7461139896373057
173,1535392,South High,No ,No ,16.7,51.0,236,0.9677266255339344,High Schools (Public),Traditional,39.8,7.3,0.0284115368058545,235,82.4,2323,4,334,24.2,18.75,0.6927835051546392
174,1536606,West High,No ,No ,22.8,52.5,190,0.9110699397869384,High Schools (Public),Traditional,38.9,15.6,0.0359207266721717,301,80.2,2422,7,292,27.4,,
175,1533843,Maricopa High,No ,No ,37.9,72.7,18,0.9861111111111112,High Schools (Public),Traditional,0.0,19.0,0.0404040404040404,15,66.7,99,0,25,8.4,,
176,127209,Insight School of California,Yes,Yes,30.3,16.7,43,0.7838427947598253,High Schools (Public),Traditional,0.0,18.9,0.0685840707964601,98,29.8,904,0,0,26.4,23.01,0.9338842975206612
177,114512,California City High,No ,No ,51.0,40.7,96,0.7980132450331126,High Schools (Public),Traditional,31.3,16.2,0.0568990042674253,114,74.3,703,9,254,22.9,13.53,0.9708029197080292
178,1534957,Rosamond High Early College Campus,No ,No ,27.3,49.7,103,0.7982740021574973,High Schools (Public),Traditional,18.6,4.2,0.1015473887814313,175,80.0,1034,25,79,18.6,0.0,0.9444444444444444
179,1535905,Taft Union High,No ,No ,21.1,64.4,209,0.818609022556391,High Schools (Public),Traditional,27.5,9.0,0.0322862129144851,144,85.8,1146,0,52,18.4,21.98,0.9830508474576272
180,1536135,Tehachapi High,No ,No ,28.7,46.3,54,0.4,High Schools (Public),Traditional,30.9,5.0,0.0372856077554064,209,85.8,1341,2,55,22.7,22.57,0.9076305220883534
181,1536440,Wasco High,No ,No ,17.0,54.6,306,0.875,High Schools (Public),Traditional,35.1,4.0,0.0097198399085191,161,84.0,1749,0,0,20.8,17.93,0.9945945945945946
182,1531367,Burroughs High,No ,No ,26.2,47.9,82,0.5286458333333334,High Schools (Public),Traditional,19.8,9.2,0.0457637600494743,222,86.4,1617,1,172,20.5,39.37,0.9662576687116564
183,1534155,McFarland High School Early College,No ,No ,9.6,54.1,209,0.8218111002921129,High Schools (Public),Traditional,51.8,0.9,0.0667903525046382,106,91.7,1078,0,27,23,22.01,0.9962825278810408
185,1530401,Frazier Mountain High,No ,No ,23.5,36.1,27,0.7459016393442623,High Schools (Public),Traditional,6.6,3.0,0.1123595505617977,40,85.0,267,0,18,20.5,38.46,0.9454545454545454
186,1632207,Corcoran High,No ,No ,18.8,66.7,63,0.8936627282491945,High Schools (Public),Traditional,39.6,4.0,0.0213849287169042,73,87.4,982,1,103,22,57.01,1.0
187,118919,Sierra Pacific High,No ,No ,14.0,81.5,95,0.588334742180896,High Schools (Public),Traditional,55.1,0.8,0.0431244914564686,84,90.1,1229,8,41,26.3,22.22,1.0
188,137901,Hanford Online Charter,Yes,No ,39.7,33.3,21,0.8613138686131386,High Schools (Public),Traditional,6.3,3.6,0.0687022900763358,9,37.5,262,0,0,16.3,7.14,1.0
189,1630169,Hanford West High,No ,No ,18.1,62.8,139,0.7761081893313299,High Schools (Public),Traditional,42.7,0.0,0.0471428571428571,119,89.2,1400,19,120,21.6,13.33,1.0
190,1634401,Hanford High,No ,No ,21.9,71.8,178,0.835781041388518,High Schools (Public),Traditional,34.6,0.3,0.0806045340050377,150,87.2,1588,24,113,23.5,15.0,1.0
191,110205,Lemoore Middle College High,Yes,No ,7.5,83.7,10,0.396078431372549,High Schools (Public),Traditional,100.0,0.0,0.0192307692307692,18,95.3,260,0,4,18.4,70.18,0.9827586206896552
192,136234,Lemoore Online College Preparatory High,Yes,No ,35.8,38.3,15,0.5886524822695035,High Schools (Public),Traditional,51.1,2.2,0.04,12,59.3,200,0,1,15.7,7.14,0.8936170212765957
193,1635606,Lemoore High,No ,No ,13.8,76.0,142,0.5895439377085651,High Schools (Public),Traditional,42.5,2.9,0.0194871794871794,185,86.9,1950,23,211,20.4,34.76,0.9851116625310172
194,1734359,Kelseyville High,No ,No ,23.9,56.0,58,0.6271844660194175,High Schools (Public),Traditional,14.3,8.0,0.0493601462522851,59,88.7,547,4,34,17.9,15.45,0.968503937007874
195,1735000,Lower Lake High,No ,No ,42.7,47.4,216,0.7577639751552795,High Schools (Public),Traditional,24.0,7.8,0.0882070949185043,159,81.8,1043,21,252,21.6,11.92,0.932367149758454
196,1732304,Clear Lake High,No ,No ,35.5,72.7,28,0.7731343283582089,High Schools (Public),Traditional,21.5,1.5,0.032520325203252,55,80.5,369,7,52,16.2,14.93,1.0
197,1736008,Middletown High,No ,No ,30.0,52.0,35,0.5510688836104513,High Schools (Public),Traditional,29.8,3.4,0.0432801822323462,49,87.2,439,0,47,18.3,36.36,0.967032967032967
198,1737006,Upper Lake High,No ,No ,36.8,43.7,16,0.8338762214983714,High Schools (Public),Traditional,37.1,5.4,0.0771513353115727,19,83.4,337,0,36,18.4,15.28,0.9473684210526316
199,1833805,Lassen High,No ,No ,22.5,61.5,27,0.3419117647058823,High Schools (Public),Traditional,16.8,5.5,0.0325960419091967,83,83.9,859,0,88,20.3,23.2,0.9023255813953488
200,1838507,Westwood High,No ,No ,29.3,61.5,1,0.7222222222222222,High Schools (Public),Traditional,0.0,53.8,0.1551724137931034,11,75.9,58,0,12,10.8,9.09,1.0
201,134346,Intellectual Virtues Academy,Yes,No ,58.3,85.0,9,0.6779661016949152,High Schools (Public),Traditional,34.4,5.4,0.0753424657534246,24,69.2,146,0,6,14.4,21.43,0.9655172413793104
202,136119,Animo City of Champions Charter High,Yes,No ,27.5,62.5,41,0.882943143812709,High Schools (Public),Traditional,80.9,2.8,0.0416666666666666,65,81.0,336,1,2,15.7,12.28,0.9827586206896552
203,138669,Da Vinci RISE High,Yes,Yes,67.7,37.5,24,0.8982035928143712,High Schools (Public),Traditional,17.9,10.8,0.075,65,54.4,240,1,3,31.8,7.69,0.1604938271604938
206,1930056,Cerritos High,No ,No ,10.8,67.8,58,0.4308617234468938,High Schools (Public),Traditional,71.4,0.5,0.0053658536585365,162,95.3,2050,1,19,23.9,59.64,0.9901574803149606
207,1930361,Artesia High,No ,No ,24.7,46.2,211,0.8627167630057804,High Schools (Public),Traditional,42.0,3.8,0.018543956043956,247,90.7,1456,3,146,18.6,24.92,0.9741100323624596
208,1933159,Gahr (Richard) High,No ,No ,14.8,48.7,121,0.6118945432250154,High Schools (Public),Traditional,65.8,0.5,0.0140350877192982,199,91.8,1710,2,68,22.5,31.96,0.9864130434782608
210,1930288,Arcadia High,No ,No ,6.6,89.7,230,0.2548485879550867,High Schools (Public),Traditional,65.1,0.3,0.0016661112962345,192,95.8,3001,2,24,24.8,57.12,0.9656160458452722
211,1930528,Azusa High,No ,No ,30.9,82.9,246,0.8931013051584835,High Schools (Public),Traditional,47.1,9.2,0.1525129982668977,305,85.2,1731,0,229,20.4,27.16,0.9614243323442137
212,1930601,Baldwin Park High,No ,No ,17.0,66.9,114,0.8690476190476191,High Schools (Public),Traditional,30.7,3.5,0.0833942940746159,202,82.5,1367,1,67,19.6,26.88,0.9846153846153848
213,1938166,Sierra Vista High,No ,No ,16.5,73.6,93,0.8793939393939394,High Schools (Public),Traditional,45.9,1.0,0.0583771161704611,266,92.0,1713,8,186,20.3,36.1,0.9974093264248703
214,1930700,Bassett Senior High,No ,No ,25.4,63.8,105,0.9116465863453816,High Schools (Public),Traditional,38.1,0.6,0.1510883482714468,142,90.8,781,0,40,18.6,39.02,0.9951456310679612
216,1931187,Burbank High,No ,No ,19.9,77.5,379,0.3736263736263736,High Schools (Public),Traditional,53.6,0.7,0.0073671965878247,213,88.6,2579,0,136,25.6,27.03,0.7900355871886121
217,1931237,Burroughs High,No ,No ,14.4,73.8,69,0.2663162505475251,High Schools (Public),Traditional,57.2,0.4,0.010204081632653,310,93.5,2352,0,75,24.3,45.61,0.9160714285714284
219,1931666,Charter Oak High,No ,No ,16.7,73.3,75,0.6949960285941224,High Schools (Public),Traditional,55.0,0.3,0.0665171898355754,184,88.0,1338,0,21,22.2,28.14,0.9546925566343042
221,1931823,Claremont High,No ,No ,17.1,81.5,69,0.3447941888619855,High Schools (Public),Traditional,67.0,0.2,0.0306459217350306,262,94.4,2121,0,51,22.2,58.8,0.9777327935222672
222,1932086,Covina High,No ,No ,21.0,77.7,78,0.7196969696969697,High Schools (Public),Traditional,76.4,1.2,0.0610412926391382,154,90.9,1114,1,38,20.9,29.92,0.9806949806949808
223,1936418,Northview High,No ,No ,16.9,77.1,84,0.789093825180433,High Schools (Public),Traditional,73.1,2.5,0.0703789636504253,154,93.4,1293,0,56,22.6,23.79,0.9936102236421726
224,1938372,South Hills High,No ,No ,15.3,79.3,64,0.6230867346938775,High Schools (Public),Traditional,67.8,1.3,0.0519951632406287,161,90.7,1654,0,32,22.2,33.25,0.9848866498740554
225,1932201,Culver City High,No ,No ,12.5,80.5,114,0.2524850894632207,High Schools (Public),Traditional,69.6,2.0,0.0141394441735738,217,95.7,2051,1,38,19.5,45.84,0.9610655737704918
226,1932441,Downey High,No ,No ,17.8,52.9,357,0.7919032337694396,High Schools (Public),Traditional,66.3,0.9,0.0284371327849588,567,91.4,4255,0,202,22.9,36.4,0.9916054564533052
227,1939164,Warren (Earl) High,No ,No ,23.9,54.4,271,0.7977279024660571,High Schools (Public),Traditional,68.8,2.0,0.036272173682817,485,91.4,3777,0,185,24,35.08,0.9887387387387389
228,134858,California School of the Arts - San Gabriel Valley,Yes,No ,11.9,87.0,16,0.1950718685831622,High Schools (Public),Traditional,86.0,0.0,0.0090180360721442,117,95.3,998,0,37,15.6,66.67,0.971311475409836
229,1932482,Duarte High,No ,No ,13.5,76.8,108,0.7698412698412699,High Schools (Public),Traditional,37.6,1.0,0.0629011553273427,138,91.9,779,0,46,20.5,37.8,0.9534883720930232
230,1930320,Arroyo High,No ,No ,15.9,70.7,221,0.8412698412698413,High Schools (Public),Traditional,40.1,1.2,0.1448516579406631,221,87.7,1719,0,82,21.1,10.0,0.9523809523809524
231,1932664,El Monte High,No ,No ,15.7,75.7,293,0.958062183658713,High Schools (Public),Traditional,35.9,4.5,0.0897170462387853,171,87.2,1449,0,78,19.7,0.0,0.9333333333333332
232,1932680,Mountain View High,No ,No ,22.6,68.7,321,0.9617097061442564,High Schools (Public),Traditional,48.5,3.0,0.0361041141897565,196,85.4,1191,0,38,18,8.33,1.0
233,1937481,Rosemead High,No ,No ,14.1,81.9,241,0.8580721466587817,High Schools (Public),Traditional,54.5,2.3,0.0815402038505096,287,89.5,1766,0,51,22.9,20.0,1.0
234,1995661,South El Monte High,No ,No ,19.8,77.9,253,0.9226666666666666,High Schools (Public),Traditional,54.5,1.9,0.1097972972972973,185,89.9,1184,0,22,20.9,,1.0
236,1932706,El Rancho High,No ,No ,16.4,65.7,145,0.7388471177944862,High Schools (Public),Traditional,57.7,2.8,0.0079812206572769,273,87.6,2130,4,180,22.3,27.34,1.0
237,1932144,Crescenta Valley High,No ,No ,13.1,89.6,99,0.3296493902439024,High Schools (Public),Traditional,71.4,0.6,0.0351008215085885,255,95.7,2678,0,86,23.4,61.44,0.969283276450512
238,1933530,Glendale High,No ,No ,18.9,77.0,566,0.5498547918683446,High Schools (Public),Traditional,40.0,2.4,0.0889792231255645,214,89.1,2214,1,159,22.7,20.73,0.977035490605428
239,1934082,Herbert Hoover High,No ,No ,22.3,80.5,456,0.5421383647798742,High Schools (Public),Traditional,36.8,1.3,0.0897360703812316,137,88.7,1705,0,119,22.3,34.96,0.9813829787234044
240,1996131,Anderson W. Clark Magnet High,No ,No ,6.1,90.2,17,0.4674295774647887,High Schools (Public),Traditional,94.9,0.0,0.0376202974628171,21,97.7,1143,0,8,26.1,67.32,0.9771863117870724
241,1933597,Glendora High,No ,No ,8.8,86.6,91,0.2121797970033832,High Schools (Public),Traditional,66.4,0.6,0.0155880963627775,261,94.8,2117,4,33,24.2,40.04,0.9793621013133208
243,100354,Hawthorne Math and Science Academy,Yes,No ,8.0,95.9,42,0.8306878306878307,High Schools (Public),Traditional,81.5,0.0,0.0051724137931034,19,94.6,580,0,3,20.9,66.41,0.992248062015504
244,1934231,Inglewood High,No ,No ,43.7,47.4,156,0.9220607661822986,High Schools (Public),Traditional,41.2,7.2,0.0346320346320346,160,70.2,924,0,96,19.8,11.24,0.967391304347826
245,1996529,City Honors International Preparatory High,Yes,No ,25.1,74.2,12,0.8217522658610272,High Schools (Public),Traditional,94.5,5.2,0.0058997050147492,18,92.0,339,0,0,22.9,34.78,1.0
246,1996586,Animo Inglewood Charter High,Yes,No ,19.6,77.8,50,0.8986486486486487,High Schools (Public),Traditional,92.8,0.0,0.0150753768844221,48,96.8,597,0,1,19.7,49.29,0.9790209790209792
247,1930080,Agoura High,No ,No ,14.6,83.4,21,0.2615564657694558,High Schools (Public),Traditional,66.2,2.9,0.0034285714285714,210,94.1,1750,1,17,23,42.82,0.9419889502762432
248,1931781,Calabasas High,No ,No ,14.0,76.5,22,0.2489748096074985,High Schools (Public),Traditional,68.6,1.4,0.0068220579874928,129,94.5,1759,0,21,25.8,42.5,0.9456264775413712
249,100602,"Lennox Mathematics, Science and Technology Academy",Yes,No ,9.5,83.6,71,0.8571428571428571,High Schools (Public),Traditional,82.5,0.7,0.035593220338983,50,99.2,590,0,16,20.6,50.34,1.0
250,1996313,Animo Leadership High,Yes,No ,11.0,80.6,92,0.9274447949526814,High Schools (Public),Traditional,83.9,0.7,0.0219092331768388,70,97.0,639,0,0,21,45.03,0.993421052631579
251,131938,Clear Passage Educational Center,Yes,Yes,18.6,,13,0.9491525423728814,High Schools (Public),Traditional,0.0,66.7,0.0972222222222222,5,77.8,72,0,0,59,,0.8
252,100677,High Tech LA,Yes,No ,11.4,71.0,26,0.4723756906077348,High Schools (Public),Traditional,100.0,3.8,0.0,54,90.5,380,0,4,21.2,43.53,1.0
253,100800,Central City Value,Yes,No ,21.6,57.4,107,0.8469601677148847,High Schools (Public),Traditional,67.8,2.9,0.0496031746031746,68,88.5,504,0,1,18.2,33.33,0.9767441860465116
254,101659,"CATCH Prep Charter High, Inc.",Yes,No ,1.4,64.3,6,0.992,High Schools (Public),Traditional,100.0,0.0,0.0065359477124183,24,76.5,153,0,0,15.6,14.81,1.0
255,101675,Oscar De La Hoya Animo Charter High,Yes,No ,24.3,59.3,78,0.9553398058252428,High Schools (Public),Traditional,76.3,2.9,0.0404411764705882,101,91.9,544,0,1,18.4,22.37,0.9934640522875816
256,102434,Animo South Los Angeles Charter,Yes,No ,30.2,65.1,98,0.964102564102564,High Schools (Public),Traditional,62.5,5.2,0.0495207667731629,99,86.6,626,1,3,19.5,27.78,0.993103448275862
257,102913,Middle College High,No ,No ,20.2,87.1,4,0.8864265927977839,High Schools (Public),Traditional,98.7,0.0,0.0108991825613079,9,93.2,367,0,0,21.9,58.7,1.0
258,106831,Animo Venice Charter High,Yes,No ,22.3,66.0,21,0.9104477611940298,High Schools (Public),Traditional,57.3,5.5,0.0289855072463768,68,93.0,345,0,1,14.6,36.36,0.9871794871794872
259,106849,Animo Pat Brown,Yes,No ,20.1,75.0,38,0.9675850891410048,High Schools (Public),Traditional,95.7,0.7,0.0337078651685393,86,95.7,623,1,1,20.6,36.96,0.9857142857142858
261,107003,Northridge Academy High,No ,No ,23.2,58.8,71,0.8545673076923077,High Schools (Public),Traditional,59.5,1.4,0.0225563909774436,137,80.5,931,0,9,17.7,22.52,0.9741935483870968
262,108878,CHAMPS - Charter HS of Arts-Multimedia & Performing,Yes,No ,35.8,50.9,29,0.5990566037735849,High Schools (Public),Traditional,75.8,5.3,0.0189473684210526,84,83.8,475,0,2,15.4,21.05,0.9047619047619048
263,108894,Alliance Judy Ivie Burton Technology Academy High,Yes,No ,4.4,79.6,77,0.961038961038961,High Schools (Public),Traditional,97.9,0.7,0.0207667731629392,79,96.5,626,0,1,21.1,45.95,0.9932885906040269
264,108936,Alliance Collins Family College-Ready High,Yes,No ,15.5,67.6,75,0.8783570300157978,High Schools (Public),Traditional,100.0,0.7,0.010719754977029,86,95.2,653,0,10,20,31.08,0.9801324503311258
265,109447,Santee Education Complex,No ,No ,40.2,58.6,302,0.934260429835651,High Schools (Public),Traditional,63.8,7.7,0.0746619635508524,244,85.0,1701,1,2,20,15.46,0.9897959183673468
266,109454,South East High,No ,No ,37.7,51.3,231,0.921105527638191,High Schools (Public),Traditional,62.7,4.4,0.0192215281114848,278,88.1,2081,0,1,21.3,24.41,0.9767932489451476
267,109462,Maywood Academy High,No ,No ,34.3,40.4,213,0.967391304347826,High Schools (Public),Traditional,58.6,9.7,0.0340073529411764,172,87.3,1088,0,19,18.4,18.46,0.9923664122137404
268,111492,Alliance Patti And Peter Neuwirth Leadership Academy,Yes,No ,9.8,70.1,91,0.9718076285240465,High Schools (Public),Traditional,95.2,0.7,0.006514657980456,61,95.9,614,1,16,19.5,44.9,0.9932432432432432
269,111500,Alliance Dr. Olga Mohan High,Yes,No ,18.0,76.7,79,0.9473684210526316,High Schools (Public),Traditional,97.5,5.5,0.0042105263157894,66,91.4,475,1,12,15.6,52.99,1.0
270,111575,Animo Ralph Bunche Charter High,Yes,No ,22.1,57.7,99,0.9643527204502814,High Schools (Public),Traditional,77.4,2.8,0.0652557319223985,57,88.5,567,0,0,19,35.42,1.0
271,111583,Animo Jackie Robinson High,Yes,No ,18.0,61.7,80,0.9555189456342668,High Schools (Public),Traditional,97.0,3.6,0.0544871794871794,95,92.1,624,0,0,19.5,26.85,1.0
272,111625,Animo Watts College Preparatory Academy,Yes,No ,25.7,63.8,66,0.924908424908425,High Schools (Public),Traditional,79.0,1.6,0.0213523131672597,92,94.7,562,0,1,19.4,36.72,0.992248062015504
273,112029,School of Business and Tourism at Contreras Learning Complex,No ,No ,28.1,55.7,125,0.9923469387755102,High Schools (Public),Traditional,72.4,21.1,0.144927536231884,34,87.0,414,0,5,19.6,25.97,0.9746835443037974
274,112037,East Valley Senior High,No ,No ,23.9,40.2,106,0.9623655913978496,High Schools (Public),Traditional,74.8,10.9,0.0711974110032362,115,84.1,618,0,3,16.7,16.28,0.9699248120300752
275,112045,Arleta High,No ,No ,24.8,50.0,122,0.8892100192678227,High Schools (Public),Traditional,71.8,3.6,0.0182815356489945,172,87.8,1094,0,3,17.4,13.89,0.9655172413793104
276,112052,Panorama High,No ,No ,40.0,46.3,296,0.9764437689969604,High Schools (Public),Traditional,72.2,9.0,0.0668073136427566,193,83.5,1422,1,3,18.3,15.93,0.9672131147540984
277,112508,Stella High Charter Academy,Yes,No ,29.4,67.8,75,0.954954954954955,High Schools (Public),Traditional,96.5,2.4,0.0171821305841924,94,90.7,582,0,10,20.6,28.33,0.967741935483871
278,112870,Contreras Learning Center-Los Angeles School of Global Studies,No ,No ,41.5,53.8,149,0.9716088328075708,High Schools (Public),Traditional,51.4,30.2,0.2061281337047353,27,77.7,359,0,0,16.3,28.57,0.9545454545454546
279,114850,West Adams Preparatory High,No ,No ,38.1,55.3,262,0.9766454352441614,High Schools (Public),Traditional,69.7,14.2,0.0396518375241779,140,80.9,1034,1,7,16.4,12.94,0.995049504950495
280,116509,Alliance Morgan McKinzie High,Yes,No ,22.2,67.3,75,0.9577777777777776,High Schools (Public),Traditional,98.0,7.1,0.0164948453608247,78,90.3,485,1,2,17.2,31.78,0.981651376146789
281,117051,Edward R. Roybal Learning Center,No ,No ,35.1,50.3,160,0.9389380530973452,High Schools (Public),Traditional,91.0,4.4,0.0360134003350083,181,90.5,1194,0,1,20.2,18.53,0.9700374531835206
282,117069,Helen Bernstein High,No ,No ,38.5,48.4,225,0.9317211948790896,High Schools (Public),Traditional,46.3,24.8,0.0652446675031367,137,79.3,797,0,0,15.7,11.8,0.978021978021978
283,117598,Alliance Piera Barbaglia Shaheen Health Services Academy,Yes,No ,34.1,56.3,112,0.9515011547344112,High Schools (Public),Traditional,98.0,7.3,0.03125,76,82.5,480,0,26,18,11.5,0.982608695652174
284,117606,Alliance Leichtman-Levine Family Foundation Environmental Science High,Yes,No ,29.4,80.9,24,0.8716216216216216,High Schools (Public),Traditional,92.0,2.2,0.054054054054054,62,86.8,333,0,2,15.2,56.41,0.975
285,117721,Contreras Learning Center-Academic Leadership Community,No ,No ,31.0,68.9,98,0.9617346938775512,High Schools (Public),Traditional,70.6,13.5,0.0649651972157772,55,84.2,431,0,1,16.8,20.83,0.96
286,117747,Los Angeles High School of the Arts,No ,No ,28.5,59.1,99,0.9605568445475638,High Schools (Public),Traditional,77.3,8.5,0.0424628450106157,63,84.5,471,1,3,17.6,14.44,1.0
287,117762,School for the Visual Arts and Humanities,No ,No ,30.0,62.2,87,0.966796875,High Schools (Public),Traditional,89.1,5.9,0.0670391061452514,81,90.3,537,1,2,17.5,30.25,0.9834710743801652
288,118588,Alain Leroy Locke College Preparatory Academy,Yes,No ,46.8,44.7,313,0.909404659188956,High Schools (Public),Traditional,46.3,12.7,0.1100210231254379,245,67.7,1427,8,25,17.3,12.03,0.9796747967479674
289,119727,Ramon C. Cortines School of Visual and Performing Arts,No ,No ,34.7,63.6,77,0.7150635208711433,High Schools (Public),Traditional,73.1,3.5,0.032312925170068,165,89.4,1176,0,0,17.6,27.76,0.924342105263158
290,119966,Felicitas and Gonzalo Mendez High,No ,No ,46.5,60.0,117,0.9452449567723344,High Schools (Public),Traditional,60.9,10.0,0.0711462450592885,136,79.7,759,0,1,17.6,19.46,0.9867549668874172
292,121285,Alliance Cindy and Bill Simon Technology Academy High,Yes,No ,24.9,57.9,107,0.9282700421940928,High Schools (Public),Traditional,97.4,2.5,0.0544747081712062,85,87.9,514,0,10,19,16.38,0.9666666666666668
295,122358,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,No ,No ,35.0,50.5,64,0.9547738693467336,High Schools (Public),Traditional,43.9,4.6,0.0589622641509434,61,88.7,424,1,3,18.1,9.18,1.0
297,122374,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,No ,No ,39.2,66.7,46,0.8985915492957747,High Schools (Public),Traditional,65.4,8.1,0.0469973890339425,67,83.8,383,0,1,17.8,18.99,0.9875
298,122382,Engineering and Technology Academy at Esteban E. Torres High No. 3,No ,No ,34.7,33.3,40,0.9771863117870724,High Schools (Public),Traditional,56.7,9.1,0.0268456375838926,50,82.2,298,0,0,13.8,23.81,1.0
299,123133,Alliance Susan and Eric Smidt Technology High,Yes,No ,28.4,61.9,55,0.9539748953974896,High Schools (Public),Traditional,94.2,2.8,0.0109090909090909,48,82.9,275,0,2,12.5,42.86,1.0
300,123141,Alliance Ted K. Tajima High,Yes,No ,15.0,72.5,44,0.975206611570248,High Schools (Public),Traditional,98.2,1.8,0.0404040404040404,40,96.0,495,0,11,19.4,53.57,1.0
301,124362,Valley Academy of Arts and Sciences,No ,No ,24.4,58.8,40,0.7239101717305152,High Schools (Public),Traditional,77.9,1.0,0.0136986301369863,202,86.4,803,0,5,17,36.11,0.9863013698630136
303,124388,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,No ,No ,28.0,58.8,39,0.9256594724220624,High Schools (Public),Traditional,95.4,2.2,0.0464601769911504,54,82.1,452,0,0,20.3,14.12,0.9883720930232558
304,124396,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),No ,No ,28.6,48.6,58,0.911904761904762,High Schools (Public),Traditional,86.1,7.3,0.0355555555555555,57,84.4,450,0,0,20.5,15.96,0.9894736842105264
305,124404,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,No ,No ,29.1,62.1,66,0.9595015576323987,High Schools (Public),Traditional,96.5,3.4,0.0809248554913294,56,80.6,346,0,1,14.9,8.6,0.9893617021276596
306,124479,Dr. Maya Angelou Community High,No ,No ,40.9,48.4,260,0.972193614830072,High Schools (Public),Traditional,64.6,21.5,0.0815569972196478,133,82.3,1079,0,9,15.8,9.36,0.9950980392156864
307,124487,Public Service Community at Diego Rivera Learning Complex,No ,No ,31.3,53.5,67,0.9890590809628008,High Schools (Public),Traditional,73.1,4.4,0.0269230769230769,54,84.0,520,0,2,18.7,2.99,0.9925925925925926
308,124495,Communication and Technology at Diego Rivera Learning Complex,No ,No ,41.0,57.3,104,0.9702970297029704,High Schools (Public),Traditional,93.8,4.0,0.0422018348623853,83,82.0,545,0,0,19.2,22.81,0.991304347826087
309,124503,Diego Rivera Learning Complex Green Design STEAM Academy,No ,No ,38.3,52.3,87,0.9634888438133874,High Schools (Public),Traditional,85.4,7.6,0.0780669144981412,64,83.8,538,0,0,20.3,25.0,1.0
310,124511,Performing Arts Community at Diego Rivera Learning Complex,No ,No ,42.5,48.1,84,0.9777327935222672,High Schools (Public),Traditional,74.6,11.6,0.0483271375464684,54,82.2,538,0,0,19.8,7.44,0.9918032786885246
311,124891,Alliance Renee and Meyer Luskin Academy High,Yes,No ,33.8,70.1,107,0.940952380952381,High Schools (Public),Traditional,89.3,3.9,0.0354609929078014,74,87.1,564,1,34,18,16.3,0.9782608695652174
312,124941,Alliance Margaret M. Bloomfield Technology Academy High,Yes,No ,27.3,77.0,95,0.9575221238938052,High Schools (Public),Traditional,100.0,1.8,0.0402576489533011,78,86.8,621,0,12,21.2,38.62,0.9931506849315068
313,125864,Ednovate - USC Hybrid High College Prep,Yes,No ,8.6,93.1,39,0.7159309021113244,High Schools (Public),Traditional,100.0,1.7,0.0057034220532319,56,97.9,526,0,7,20.7,,
314,125989,STEM Academy at Bernstein High,No ,No ,21.1,71.8,54,0.9749582637729548,High Schools (Public),Traditional,99.3,0.7,0.0099009900990099,79,96.4,606,0,4,19.6,31.33,0.974025974025974
315,126136,Math and Science College Preparatory,Yes,No ,31.6,66.7,74,0.63016157989228,High Schools (Public),Traditional,99.2,0.0,0.0017825311942959,67,97.7,561,1,2,18.2,32.59,1.0
316,126482,Augustus Hawkins High,No ,No ,54.8,44.4,319,0.9848484848484848,High Schools (Public),Traditional,63.7,22.1,0.0735759493670886,137,78.5,1264,0,0,19.5,10.82,0.9816849816849816
317,126516,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,No ,No ,8.0,77.4,53,0.934156378600823,High Schools (Public),Traditional,85.6,1.2,0.013477088948787,60,96.1,742,0,1,21,36.63,1.0
318,126524,Linda Esperanza Marquez High B LIBRA Academy,No ,No ,18.2,53.1,42,0.943089430894309,High Schools (Public),Traditional,79.6,3.9,0.0063091482649842,57,93.7,634,0,4,21,34.48,1.0
