,School Code,SPED_ENR_N
804,3330438,378
805,3331071,321
806,3333770,368
807,3331014,32
808,0127316,138
809,3330578,149
810,3330818,281
811,3335130,148
812,3335759,113
813,0113191,371
814,0140491,370
815,3330727,382
816,3335973,345
817,3330024,286
818,3330859,266
819,3334406,298
820,3336237,264
821,3336492,256
822,3331006,19
823,3337656,419
824,0100255,281
825,0121673,46
826,3330990,253
827,0107920,271
828,3330487,276
829,3332350,306
830,0105734,327
831,3330370,429
832,3330636,63
833,3330743,516
834,0100420,489
835,0118794,319
836,3330529,330
837,0109108,230
838,0133306,271
839,3330552,254
840,0105916,278
841,0108753,282
842,0116897,233
843,3430170,295
844,3430477,279
845,3430592,323
846,3430618,246
847,3430873,223
848,3432572,279
849,0113571,141
850,3431533,304
851,3433216,261
852,3434792,25
853,0119131,127
854,3433471,121
855,4835302,43
856,0137950,98
857,0101881,30
858,0101899,55
859,0101907,53
860,0101972,287
861,0102038,65
862,0108951,35
863,3430865,29
864,3431012,311
865,3434636,307
866,3434768,321
867,3435419,302
868,0135772,10
869,3430048,174
870,3430386,22
871,3430493,171
872,3431111,133
873,3432051,202
874,3432317,118
875,3432838,80
876,3435930,141
877,3436714,126
878,3438504,95
879,3430378,191
880,0102236,213
881,0112425,29
882,3430584,226
883,0101832,21
884,3433265,197
885,3433794,324
886,3434370,152
887,3436979,231
888,0132308,2
889,3530045,2
890,3530060,24
891,0140012,86
892,3630803,281
893,3630290,4
894,0126243,8
895,3630225,396
896,3630373,481
897,3630571,369
898,3630845,11
899,3631058,280
900,3631157,350
901,3632205,514
902,3633906,387
903,3634482,321
904,3637659,46
905,3630035,228
906,3630522,201
907,3631017,274
908,3631587,19
909,3632502,339
910,0125500,219
911,3631322,258
912,3632742,242
913,0108191,250
914,0120758,201
915,3630555,250
916,3630902,230
917,3633302,309
918,3638616,219
919,3630266,1
920,3634169,43
921,0118802,289
922,3630779,286
923,3635042,312
924,0102830,234
925,3630530,5
926,3630597,285
927,3633005,265
928,3635265,107
929,0125450,292
930,0136952,114
931,3631082,350
932,3631090,6
933,3632221,310
934,3634680,224
935,3635844,234
936,3636081,236
937,0125419,357
938,3630787,394
939,3638012,401
940,3633351,19
941,3638509,440
