,School Code,Homeless Student Enrollment (Rate)
26737,1330133,0.06999485331960885
26755,1335306,0.00927643784786642
26759,1330117,0.0
26767,1335900,0.06838185511171294
26778,1337609,0.06862745098039216
27721,1431352,0.0
27723,0119081,0.14814814814814814
27724,1431600,0.031201248049921998
27733,0128454,0.01694915254237288
27735,0128447,0.027597402597402596
27736,0117994,0.148840206185567
27738,1434901,0.0
27740,1436203,0.0
32978,0100529,0.011519078473722102
32979,1531672,0.020360219263899765
32980,0116384,0.01722949689869056
32999,1530401,0.11235955056179775
33035,1530252,0.021456208230742173
33036,1530708,0.037252619324796274
33037,1530369,0.011021619330224672
33039,0141101,0.033050047214353166
33041,1532290,0.045857418111753374
33042,1532605,0.01875
33043,0110999,0.007403979639055993
33044,0100198,0.013830678960603521
33045,1533330,0.011860637509266123
33046,0116392,0.014595660749506903
33047,1533538,0.07339449541284404
33049,1530476,0.008120178643930167
33050,0116400,0.0498220640569395
33052,1534775,0.054985638079606075
33054,1530385,0.007291286912139993
33055,1535087,0.01829988193624557
33056,1535392,0.0284115368058545
33057,1530344,0.0071146245059288534
33061,1536606,0.035920726672171756
33078,0127209,0.06858407079646017
33080,1533843,0.04040404040404041
33086,1534155,0.06679035250463822
33089,1530146,0.10256410256410256
33092,0114512,0.05689900426742532
33156,1531367,0.045763760049474335
33171,1534957,0.10154738878143134
33185,1535905,0.03228621291448516
33191,1536135,0.037285607755406416
33204,1536440,0.009719839908519153
35300,1632207,0.021384928716904276
35321,1630151,0.08860759493670886
35322,1634401,0.08060453400503778
35323,0137901,0.06870229007633588
35324,1630169,0.047142857142857146
35326,0118919,0.043124491456468676
35331,0136556,0.023485784919653894
35345,1635606,0.019487179487179488
35346,0110205,0.019230769230769232
35347,0136234,0.04
35354,1630953,0.03936039360393604
36599,1734359,0.04936014625228519
36611,1735000,0.08820709491850431
36618,1732304,0.032520325203252036
36630,1736008,0.04328018223234624
36636,1737006,0.0771513353115727
37911,1833409,0.0
37920,1833805,0.03259604190919674
37929,1838507,0.15517241379310345
49220,1995596,0.0
49222,1930361,0.018543956043956044
49228,1930056,0.005365853658536586
49233,1933159,0.014035087719298246
49248,1931641,0.06132075471698113
49252,0127100,0.06619718309859154
49255,0134619,0.07407407407407407
49266,1995786,0.04047619047619048
49267,1930163,0.018691588785046728
49274,1934553,0.006148440931049627
49281,1937697,0.004859611231101512
49285,1930213,0.018002322880371662
49286,1996537,0.050173010380622836
49287,1931732,0.035746201966041107
49288,0108407,0.01780821917808219
49289,1995398,0.022426095820591234
49290,1995844,0.03576158940397351
49291,1995406,0.018562874251497007
49293,1936624,0.028305701577031946
49294,1995968,0.14
49295,1937051,0.026213881441763478
49297,0111872,0.0044444444444444444
49298,0100081,0.008556981719175419
49299,1930288,0.0016661112962345886
49311,1930528,0.15251299826689774
49323,1930601,0.08339429407461595
49335,1996479,0.01697792869269949
49336,1938166,0.05837711617046118
49341,1930700,0.15108834827144688
49366,1930981,0.00859375
49375,1931088,0.0056352459016393444
49387,1937739,0.014671814671814672
49390,1931187,0.007367196587824738
49391,0131573,0.0
49392,1931237,0.01020408163265306
49398,1995877,0.023809523809523808
49414,0118521,0.02459016393442623
49415,0128488,0.0
49416,1933951,0.032602585722315905
49417,1934926,0.031064111037673495
49418,1935048,0.018717828731867104
49419,0128496,0.0
49422,1930312,0.016
49426,1931666,0.06651718983557549
49434,1931823,0.030645921735030647
49452,1931567,0.027944111776447105
49453,1995695,0.10554089709762533
49457,0132969,0.0017699115044247787
49458,1931963,0.024840764331210193
49474,1932326,0.02385107620709715
49484,1996057,0.0425531914893617
49493,1932086,0.06104129263913824
49503,1936418,0.07037896365042537
49506,1938372,0.05199516324062878
49509,1932201,0.014139444173573866
49523,1932441,0.028437132784958873
49538,1939164,0.03627217368281705
49542,0134858,0.009018036072144289
49544,1932482,0.06290115532734275
49591,1930320,0.14485165794066318
49592,1932664,0.08971704623878538
49593,1996123,0.1320754716981132
49595,1932680,0.03610411418975651
49597,1937481,0.08154020385050963
49598,1995661,0.1097972972972973
49602,1932706,0.007981220657276996
49614,1930353,0.0
49617,1932763,0.0031821797931583136
49634,1996131,0.03762029746281715
49640,1932144,0.0351008215085885
49644,1933530,0.08897922312556458
49646,1934082,0.08973607038123167
49667,1933597,0.015588096362777516
49675,1939677,0.02097902097902098
49683,1939834,0.04221635883905013
49687,1934801,0.10867052023121387
49690,1935246,0.07014388489208633
49705,1996560,0.09523809523809523
49707,1939925,0.11424903722721438
49713,0100354,0.005172413793103448
49728,1996586,0.01507537688442211
49732,1996529,0.0058997050147492625
49741,1934231,0.03463203463203463
49786,1930080,0.0034285714285714284
49790,1931781,0.006822057987492893
49805,1996438,0.018
49814,1996313,0.02190923317683881
49820,0100602,0.03559322033898305
49846,1995935,0.10881696428571429
49847,1995539,0.016320474777448073
49850,0131938,0.09722222222222222
