,School Code,Percent Eligible FRPM,School Type,Educational Option Type
2539,0101675,0.9553398058252427,High Schools (Public),Traditional
2544,0102434,0.9641025641025641,High Schools (Public),Traditional
2550,0102913,0.8864265927977839,High Schools (Public),Traditional
2551,0102921,0.6548672566371682,High Schools (Public),Traditional
2554,0106831,0.9104477611940298,High Schools (Public),Traditional
2555,0106849,0.9675850891410048,High Schools (Public),Traditional
2565,0106997,0.9310872894333844,Alternative Schools of Choice,Alternative School of Choice
2566,0107003,0.8545673076923077,High Schools (Public),Traditional
2568,0107755,0.6364628820960698,High Schools (Public),Traditional
2569,0108878,0.5990566037735849,High Schools (Public),Traditional
2571,0108894,0.961038961038961,High Schools (Public),Traditional
2574,0108936,0.8783570300157978,High Schools (Public),Traditional
2600,0109447,0.934260429835651,High Schools (Public),Traditional
2601,0109454,0.921105527638191,High Schools (Public),Traditional
2602,0109462,0.967391304347826,High Schools (Public),Traditional
2603,0109512,0.9763779527559056,Continuation High Schools,Continuation School
2607,0110668,0.9891304347826086,Continuation High Schools,Continuation School
2609,0111484,0.9651162790697675,High Schools (Public),Traditional
2610,0111492,0.9718076285240465,High Schools (Public),Traditional
2611,0111500,0.9473684210526315,High Schools (Public),Traditional
2613,0111575,0.9643527204502814,High Schools (Public),Traditional
2614,0111583,0.9555189456342669,High Schools (Public),Traditional
2615,0111625,0.924908424908425,High Schools (Public),Traditional
2617,0111658,0.8978494623655914,High Schools (Public),Traditional
2624,0112029,0.9923469387755102,High Schools (Public),Traditional
2625,0112037,0.9623655913978495,High Schools (Public),Traditional
2626,0112045,0.8892100192678227,High Schools (Public),Traditional
2627,0112052,0.9764437689969605,High Schools (Public),Traditional
2631,0112508,0.954954954954955,High Schools (Public),Traditional
2632,0112870,0.9716088328075709,High Schools (Public),Traditional
2634,0114850,0.9766454352441614,High Schools (Public),Traditional
2641,0115253,0.8173076923076923,High Schools (Public),Traditional
2643,0116509,0.9577777777777777,High Schools (Public),Traditional
2648,0117051,0.9389380530973451,High Schools (Public),Traditional
2649,0117069,0.9317211948790897,High Schools (Public),Traditional
2650,0117598,0.9515011547344111,High Schools (Public),Traditional
2651,0117606,0.8716216216216216,High Schools (Public),Traditional
2656,0117721,0.9617346938775511,High Schools (Public),Traditional
2657,0117747,0.9605568445475638,High Schools (Public),Traditional
2658,0117762,0.966796875,High Schools (Public),Traditional
2662,0117911,0.7844827586206896,High Schools (Public),Traditional
2666,0118588,0.909404659188956,High Schools (Public),Traditional
2670,0119727,0.7150635208711433,High Schools (Public),Traditional
2672,0119966,0.9452449567723343,High Schools (Public),Traditional
2679,0120360,0.7868852459016393,Alternative Schools of Choice,Alternative School of Choice
2682,0120808,1.0,District Community Day Schools,Community Day School
2687,0121285,0.9282700421940928,High Schools (Public),Traditional
2707,0122333,0.9026217228464419,Alternative Schools of Choice,Alternative School of Choice
2708,0122341,0.9465020576131687,Alternative Schools of Choice,Alternative School of Choice
2709,0122358,0.9547738693467337,High Schools (Public),Traditional
2710,0122366,0.9586776859504132,Alternative Schools of Choice,Alternative School of Choice
2711,0122374,0.8985915492957747,High Schools (Public),Traditional
2712,0122382,0.9771863117870723,High Schools (Public),Traditional
2719,0122606,0.8986486486486487,High Schools (Public),Traditional
2729,0123133,0.9539748953974896,High Schools (Public),Traditional
2730,0123141,0.9752066115702479,High Schools (Public),Traditional
2739,0124362,0.7239101717305152,High Schools (Public),Traditional
2740,0124370,0.86,Alternative Schools of Choice,Alternative School of Choice
2741,0124388,0.9256594724220624,High Schools (Public),Traditional
2742,0124396,0.9119047619047619,High Schools (Public),Traditional
2743,0124404,0.9595015576323987,High Schools (Public),Traditional
2746,0124479,0.972193614830072,High Schools (Public),Traditional
2747,0124487,0.9890590809628009,High Schools (Public),Traditional
2748,0124495,0.9702970297029703,High Schools (Public),Traditional
2749,0124503,0.9634888438133874,High Schools (Public),Traditional
2750,0124511,0.9777327935222672,High Schools (Public),Traditional
2758,0124891,0.940952380952381,High Schools (Public),Traditional
2759,0124933,0.9384615384615385,High Schools (Public),Traditional
2760,0124941,0.9575221238938053,High Schools (Public),Traditional
2765,0125864,0.7159309021113244,High Schools (Public),Traditional
2767,0125989,0.9749582637729549,High Schools (Public),Traditional
2768,0126136,0.63016157989228,High Schools (Public),Traditional
2782,0126482,0.9848484848484849,High Schools (Public),Traditional
2783,0126516,0.934156378600823,High Schools (Public),Traditional
2784,0126524,0.943089430894309,High Schools (Public),Traditional
2785,0126532,0.9500924214417745,High Schools (Public),Traditional
2786,0126540,0.8568702290076335,High Schools (Public),Traditional
2787,0126557,0.9002433090024331,High Schools (Public),Traditional
2788,0126573,0.9831804281345565,High Schools (Public),Traditional
2792,0126615,0.7784810126582279,High Schools (Public),Traditional
2793,0126623,0.8082191780821918,High Schools (Public),Traditional
2796,0127787,0.8074324324324325,High Schools (Public),Traditional
2797,0127795,0.9662576687116564,High Schools (Public),Traditional
2798,0127803,0.9375,High Schools (Public),Traditional
2800,0127894,0.9451219512195121,High Schools (Public),Traditional
2801,0127910,0.98828125,High Schools (Public),Traditional
2814,0129536,0.95703125,Alternative Schools of Choice,Alternative School of Choice
2815,0129585,0.9916387959866221,High Schools (Public),Traditional
2818,0129627,0.9118457300275482,High Schools (Public),Traditional
2822,0130997,0.9512195121951219,Alternative Schools of Choice,Alternative School of Choice
2827,0131821,0.9716312056737588,High Schools (Public),Traditional
2829,0132027,0.9168356997971603,High Schools (Public),Traditional
2831,0132126,0.9318181818181818,High Schools (Public),Traditional
2832,0132282,0.8121019108280255,High Schools (Public),Traditional
2844,0133868,0.8936170212765957,High Schools (Public),Traditional
2850,0135632,0.3250883392226148,High Schools (Public),Traditional
2853,0135715,0.8007736943907157,High Schools (Public),Traditional
2854,0135723,0.732,High Schools (Public),Traditional
2861,0137083,0.9727272727272728,Alternative Schools of Choice,Alternative School of Choice
2862,0137091,0.9917355371900827,High Schools (Public),Traditional
