,SchoolCode,College Going Rate - Total (12 Months)
922,3631082,51.3
923,0136952,54.0
924,3634680,58.3
925,0125450,58.0
926,3631090,100.0
927,3636081,58.1
928,3632221,66.1
929,3630787,65.4
930,3638012,58.8
931,0125419,52.5
932,3638509,63.8
933,3633351,31.8
934,3630076,*
935,3630274,54.2
936,3630233,61.3
937,3630746,64.9
938,3630407,73.3
939,0119115,75.5
940,3630563,60.4
941,0136432,27.5
942,3637584,69.5
943,3630894,62.2
944,3630423,64.0
945,0115998,64.3
946,0134890,24.4
947,3730447,48.3
948,3731478,85.9
949,3735313,53.7
950,3732062,60.7
951,3730058,65.3
952,0127241,75.8
953,0111195,74.0
954,3731023,66.9
955,3732179,61.0
956,3730967,53.8
957,3731692,66.8
958,3731809,64.3
959,0132548,48.9
960,3734761,56.4
961,0128793,*
962,3732732,79.1
963,3731262,72.7
964,3730066,82.6
965,3730702,74.9
966,3732625,75.8
967,3734548,62.8
968,3732336,66.3
969,3733219,43.8
970,0123224,29.9
971,3734878,56.2
972,3731528,93.0
973,3735867,80.5
974,3730819,84.7
975,0118935,92.9
976,3730074,89.2
977,3735974,57.8
978,3732997,62.8
979,0122788,62.7
980,0107094,76.2
981,0107078,67.6
982,0108787,77.0
983,0107482,95.8
984,0106732,85.7
985,3737962,32.5
986,0107177,67.9
987,0118851,58.3
988,3735750,84.0
989,0114462,65.2
990,3733698,76.0
991,3733508,84.4
992,0114025,52.4
993,3730884,90.0
994,3731213,66.5
995,0127647,77.7
996,3734654,66.7
997,3734431,84.1
998,0107086,67.5
999,3732781,86.0
1000,3730181,81.6
1001,3730314,82.6
1002,3730231,28.7
1003,3730173,77.3
1004,3731247,83.3
1005,0118315,86.7
1006,0107219,69.9
1007,0107102,57.4
1008,3737384,30.9
1009,3737418,70.5
1010,3731007,77.1
1011,0106328,86.2
1012,3730033,81.4
1013,0125401,26.6
1014,3730843,85.5
1015,3730124,69.9
1016,3738234,74.0
1017,3730801,66.7
1018,3738226,56.7
1019,0111831,84.8
1020,3731627,83.2
1021,3731304,30.8
1022,3731502,61.3
1023,3731064,65.6
1024,3730405,81.1
1025,3732849,73.6
1026,3733953,72.2
1027,0118430,63.3
1028,3738705,49.1
1029,3730728,68.6
1030,0114264,19.2
1031,3730694,63.2
1032,3731163,50.0
1033,0127423,70.2
1034,3735206,44.0
1035,3739018,38.4
1036,0105726,79.8
1037,3737632,81.3
1038,0139451,25.2
1039,3731114,56.5
1040,0137067,76.3
1041,0114678,78.8
1042,0114694,78.7
1043,0129320,47.6
1044,3830361,*
1045,3830395,8.0
1046,3830288,82.3
1047,3830197,48.7
1048,0119958,86.1
1049,0107300,75.9
1050,3830429,*
1051,3830254,77.9
1052,3834769,71.3
1053,3830064,29.4
1054,3830403,57.0
1055,3830031,31.9
1056,3833241,84.4
1057,0119875,71.1
1058,0102103,62.2
1059,3831765,83.1
1060,0127530,81.0
1061,3830387,88.0
1062,3830205,85.2
1063,3834082,66.7
1064,3830437,78.0
1065,3839081,89.5
1066,3833407,92.5
1067,3932308,66.7
1068,3933801,71.2
1069,3933959,76.0
1070,3934759,65.4
1071,3934783,68.9
1072,3930443,96.4
1073,0101956,87.3
1074,3930237,71.5
1075,0108225,66.3
1076,3932001,63.2
1077,0116376,69.4
1078,0101576,66.8
1079,3935103,54.5
1080,3930310,72.0
1081,0133116,19.3
1082,0136135,36.8
1083,3935756,79.6
1084,3937406,50.4
1085,0123802,79.8
1086,0119743,96.2
1087,0119784,15.2
1088,0115402,54.5
1089,3930427,65.0
1090,0108159,58.7
1091,3932100,50.4
1092,0124248,80.9
1093,3938008,70.6
1094,0119040,74.4
1095,3930302,63.3
1096,0102392,77.1
1097,0128967,83.2
1098,4030755,65.5
1099,4030102,52.3
1100,4030268,68.4
1101,0125328,80.3
1102,4034807,78.2
1103,4036703,85.6
1104,4037008,37.5
1105,4037701,87.9
1106,4030185,52.5
1107,4035754,73.3
1108,0119354,55.2
1109,4032009,90.3
1110,0135269,51.9
1111,4132817,78.8
1112,0127548,93.3
1113,4137790,74.1
1114,4135075,82.1
1115,4137592,38.8
1116,4137535,83.9
1117,4133393,71.8
1118,4135331,82.4
1119,4130472,91.6
1120,0129759,86.1
1121,4134557,92.5
1122,4136370,79.6
1123,4133070,85.3
1124,4130217,87.4
1125,4130738,79.3
1126,4138053,79.9
1127,4130993,86.7
1128,0138420,68.7
1129,0112722,70.1
1130,4133716,79.5
1131,0126722,67.3
1132,4136693,80.8
1133,4137279,77.8
1134,4132551,82.6
1135,4230587,81.8
1136,4230454,79.2
1137,4233060,67.6
1138,4234613,74.0
1139,0102285,71.2
1140,4236030,69.1
1141,4236345,78.5
1142,4231205,40.0
1143,4231726,86.8
1144,4235727,79.6
1145,4235230,82.7
1146,0120402,55.9
1147,4330254,65.2
1148,0123794,81.7
1149,0135087,21.2
1150,4330239,90.3
1151,4330866,82.6
1152,4338505,83.7
1153,4331955,73.3
1154,4336137,82.8
1155,4337903,85.8
1156,0107151,40.6
1157,4332995,76.2
1158,0132274,69.1
1159,4330668,77.9
1160,0131995,50.7
1161,4333639,73.3
1162,4330015,76.7
1163,4335907,89.6
1164,0125617,75.3
1165,4334900,66.8
1166,0130856,67.9
1167,4335204,77.2
1168,4330023,81.0
1169,0116889,92.2
1170,4335428,72.5
1171,4330031,77.4
1172,4330692,92.8
1173,4334462,90.9
1174,4333316,84.2
1175,4332474,78.9
1176,4334421,90.3
1177,4331799,86.3
1178,0118380,79.9
1179,0114496,88.5
1180,4332839,69.1
1181,4334371,89.0
1182,4337762,92.4
1183,4333951,74.6
1184,0102368,81.0
1185,4334116,88.1
1186,4334728,82.9
1187,4332904,87.0
1188,4335782,86.0
1189,4335949,88.6
1190,4333795,81.9
1191,4333522,91.3
1192,4338950,81.5
1193,4330080,76.8
1194,4337200,65.4
1195,4330122,85.3
1196,0135970,89.3
1197,4338802,83.3
1198,4330247,48.4
1199,4331039,41.9
1200,4334470,83.0
1201,0137315,91.2
1202,4430146,13.6
1203,0105858,72.6
1204,4430518,85.3
1205,4430245,54.5
1206,4437901,67.8
1207,4436754,77.4
1208,4432340,80.9
1209,4430187,51.4
1210,4430096,55.2
1211,4437109,79.5
1212,4437406,85.4
1213,4430211,87.7
1214,4530150,*
1215,4530051,31.8
1216,4530028,66.7
1217,4530804,50.0
1218,4530010,*
1219,4530267,50.8
1220,4530200,30.4
1221,4530309,32.6
1222,4537304,73.4
1223,4530044,73.8
1224,4532750,56.7
1225,4531901,56.8
1226,4732707,63.6
1227,4735403,65.5
1228,4738753,39.1
1229,4734901,*
1230,4734356,*
1231,4739207,48.9
1232,4731253,*
1233,4733309,52.5
1234,4830071,*
1235,4831004,74.6
1236,4832259,61.3
1237,4833000,50.2
1238,4830451,54.0
1239,4830170,81.8
1240,4838801,76.1
1241,0141150,*
1242,4830089,58.7
1243,4830113,69.5
1244,4837803,66.1
1245,4830147,60.2
1246,4830196,64.8
1247,0139816,*
1248,4930400,76.2
1249,4930855,67.5
1250,4930012,77.9
1251,4930111,45.5
1252,4935151,79.3
1253,4930160,55.7
1254,4936803,73.1
1255,4934154,69.6
1256,4930244,80.8
1257,4935292,65.7
1258,4937256,68.9
1259,4935482,67.3
1260,4930384,81.3
1261,0123786,76.0
1262,4930228,70.6
1263,0138263,40.9
1264,4932554,74.0
1265,5030168,39.2
1266,0107136,56.3
1267,5030879,67.8
1268,0108076,68.3
1269,5031521,60.0
1270,5030135,50.3
1271,0121129,70.2
1272,5031802,58.1
1273,5031380,58.7
1274,0110593,72.3
1275,5034905,54.2
1276,5030010,67.1
1277,5036256,64.8
1278,5035902,60.8
1279,5032651,64.4
1280,5036850,56.3
1281,5035654,68.0
1282,5030192,40.7
1283,5030259,53.8
1284,5037700,71.3
1285,5030283,71.5
1286,0114207,*
1287,5132758,61.4
1288,5135256,76.0
1289,5137500,62.6
1290,0107722,68.7
1291,5139001,66.6
1292,5231675,16.7
1293,5231709,59.0
1294,0137414,*
1295,5235106,58.3
1296,5237201,59.0
1297,5237151,17.9
1298,0125633,22.6
1299,5337407,55.0
1300,5330022,*
1301,5337456,58.3
1302,5430061,*
1303,0119602,91.2
1304,5430301,33.3
1305,5433230,69.7
1306,0124776,*
