,SchoolCode,CumulativeEnrollment,Total Expulsions,Total Suspensions
1047,3730843,2663,0,49
1048,3732849,1872,3,78
1049,3731304,317,0,27
1050,3733953,1342,1,53
1051,3738234,1679,1,67
1052,0111831,2421,2,71
1053,3731627,2584,2,82
1054,3731502,2105,2,181
1055,3730124,1662,6,124
1056,3738226,2462,5,101
1057,3731114,1116,0,37
1058,0118430,1686,0,22
1059,0114264,167,0,19
1060,3730728,2051,1,109
1061,3738705,1857,5,115
1062,0139451,1585,0,0
1063,3830361,196,0,0
1064,3830395,102,0,0
1065,0119958,132,0,2
1066,3830387,686,0,18
1067,3830288,1318,0,99
1068,3830254,1114,0,89
1069,0107300,411,0,53
1070,3830064,258,0,17
1071,3831765,1911,0,98
1072,3830437,479,0,33
1073,3830197,305,0,0
1074,0102103,197,0,0
1075,0127530,206,0,58
1076,3830429,63,0,14
1077,3833241,2246,0,16
1078,3833407,2596,0,5
1079,3830403,562,0,33
1080,3834082,1116,0,59
1081,3834769,509,0,99
1082,0119875,451,0,8
1083,3830205,600,0,23
1084,3839081,2151,0,35
1085,3830031,287,0,13
1086,3932308,849,4,65
1087,0128967,2501,3,106
1088,3933801,2958,14,202
1089,3933959,771,2,37
1090,0101956,712,0,15
1091,3930237,2066,1,108
1092,3934783,2032,1,172
1093,3930443,349,0,4
1094,0108225,1773,3,226
1095,3934759,2223,5,73
1096,3932001,1640,2,113
